,Unnamed: 0,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
34,276,Dishonored 2 - PC,-1.0,-1.0,1,4.4,205,133,34,22,6,8,12,2,0,0,0,0,4,3,4,1,0,"The Assassins: As fully voiced characters, Emily Kaldwin and Corvo Attano now bring their own perspectives and emotional responses to the world and story.
Supernatural Powers: Advanced bone charm crafting and all-new upgrade trees allow you to customize your powers in vastly different ways.
Imaginative World: The world is a character in its own right, rich with story, architecture and eclectic characters.
Challenge: Customize your gameplay options and difficulty settings for an even more tailored adventure.
The Void Engine: Dishonored 2 is beautifully brought to life with the new Void Engine, a leap forward in rendering technology, built from id Tech and highly-customized by Arkane Studios.",5,106
35,277,Sagara Family & Chain Double Pack,-1.0,-1.0,1,4.3,21,11,4,5,0,0,15,7,0,0,0,0,0,0,1,1,0,Subtitles translated in English,1,4
36,278,IHRA Drag Racing Sportsman Edition - PC,-1.0,-1.0,1,4.1,15,9,1,1,1,1,12,14,0,0,0,0,2,0,1,1,0,"Intense bracket racing action between carsof all makes and models.
If youre looking for instant action, try the arcade mode, where you can choose from single event or two-player split-screen racing.
For more in-depth play, the season mode allows you to experience the excitement and challenge of the IHRA Sportsman 12-event season.
Players will earn money to unlock new cars and receive quality upgrades as they progress towards the IHRA Sportsman Championship.",4,72
37,281,RAN Online [Download],-1.0,-1.0,0,3.3,20,6,3,6,0,4,112,3,0,1,12,2013,1,1,0,1,0,"Three campuses (schools).
Four character classes: Males can be a Brawler or Swordsman while a female can be an Archer or Shaman.
Each campus sells clothing from different societies.
200 Levels.",4,31
38,283,LEGO Star Wars II: The Original Trilogy (PC Games),-1.0,-1.0,1,4.2,109,79,6,6,6,10,29,4,0,12,9,2006,2,0,0,1,0,"Make Darth Maul a hero of the Rebellion, or destroy the Death Star with a TIE fighter!
Expands upon all of the fun and creativity that made the original LEGO Star Wars such a hit, this time set during the original three Star Wars films (Episodes IV, V, VI).
Unlock up to 54 more playable characters with a game save from the original LEGO Star Wars (consoles/Windows).
Create unique playable characters like Yoda Kenobi, Lando Fortuna and millions more by mixing and matching the LEGO body parts of all playable characters.
In Free Play mode, experience the Original Trilogy in a new way by importing any character into land levels, or switch between vehicles at will in space levels.",5,119
39,297,Hoyle Casino 2004 - PC,-1.0,-1.0,0,3.8,45,24,6,3,2,8,37,12,0,0,0,0,3,1,1,1,0,"Beginners and experts alike will enjoy Video Poker, Video Blackjack, and hundreds of Slots
Try your luck in Pai Gow Poker, Let It Ride, Three Card Poker and other games
Also comes with Craps, Roulette, Keno, Caribbean Stud, Baccarat and Blackjack
Easy-to-use interface and in-game help make this fun of players of all levels",4,54
40,301,Supreme Commander - PC,-1.0,-1.0,1,4.3,188,116,33,20,7,7,25,4,0,20,2,2007,2,0,0,1,0,"Play as one of three unique factions
Planetary warfare on a galactic scale
A deadly combination of land, sea and air units to command
Robust multiplayer gaming with up to 8 players online plus co-op mode
Dedicated community support including map and mission editor",5,44
41,305,Grim Tales THE VENGEANCE Collectors Edition PC Game Hidden Object + Bonus Game!,-1.0,-1.0,1,4.8,10,8,1,0,0,0,2,11,0,0,0,0,2,12,2,1,0,0,0,0
42,306,Press Your Luck 2010 Edition - PC,-1.0,-1.0,0,3.9,34,18,3,2,6,2,1,12,0,0,0,0,1,1,2,1,0,"All of the favorite moments of the show are in the game
Custom Avatars - Design your avatar from head to toe, including body, facial features, hair and clothes
Unlock Achievements - Use your winnings for customized items for your avatar; achievements are also connected to Price is Right and Family Feud
Premium Graphics - 3D models, enhanced interactivity, and detailed set and game design to match the modern look and feel of the show
3000 Trivia Questions + 50 Whammy Animations = Fun For All - This proven game formula is easy to pick up and play and fun for the whole family",5,104
43,310,"Nancy Drew 4 Pack-Secret of Shadow Ranch, Curse of Blackmoor Manor, White Wolf of Icicle Creek, Legend of the Crystal Skull - Windows (select)",-1.0,-1.0,1,4.2,96,52,27,6,4,4,10,6,0,0,0,0,1,1,2,0,1,"Cook up savory meals such as omelets, hamburgers and salmon in this fun sim: The White Wolf of Icicle Creek
Play fun mini games such as Bul, Skull and Bones, and jigsaw puzzles
Navigate 4 exciting cities in these fun seek and find adventures
Choose from Junior or Senior difficulty levels",4,51
44,313,Empire Earth - PC,-1.0,-1.0,1,4.1,286,185,34,14,17,34,9,4,0,0,0,0,3,6,1,1,0,"14 different Epochs – replay all of human history or just the span of time that interests you
Battle on land, air, and sea – in addition to armies, you can build wide varieties of ships and aircrafts.
Enlist great historical Heroes – such as William the Conqueror and Patton – to enhance your military abilities.
Command history's best-known civilizations, such as the Greeks, English, French and Germans, or evolve your own as you play by choosing from well over 100 unique attributes. Colonize or conquer surrounding territories and establish new settlements. Plan and build walled towns and city-states. Construct Temples and Hospitals to protect and enhance your growing empire. Your Town Centers inspire defenders to fight harder and can be transformed into powerful Capitals. Wood, coal, oil and other natural resources provide raw materials for expansion. Over a dozen technology tracks offer numerous opportunities for further advancement.
Train more than 200 types of combat units from every era in history, including Earth's future. Instantly improve the combat abilities of your troops with specific upgrades. Lead your armies to glorious victory with the help of Charlemagne, Churchill and other great heroes, from not only yesterday but also today and tomorrow. Fight in good weather during the day on an open plain, or carry out surprise assaults in the black of night or the dead of winter. Attack unsuspecting enemies with stealthy submarines and aircraft. Soften up an enemy position with artillery fire, carpet-bombing, or off-shore shelling, or launch ballistic missiles. Wage epic sky battles with over 30 types of aircraft, such as Sopwith Camels, Spitfires, F-15s, Apache Gunships and B-2 Bombers. Fight massive naval engagements with more than 40 different ships, from 16th Century ships-of-the-line to modern aircraft carriers. Board and capture enemy vessels. Train colossal and intelligent 'mechs to fight the battles of the future.",5,306
45,322,StarCraft II: Wings of Liberty,-1.0,-1.0,1,4.4,2248,1708,224,112,44,157,23,3,0,0,0,0,2,0,1,1,0,"Fast-paced, hard-hitting, tightly balanced competitive real-time strategy gameplay that recaptures and improves on the original game
Three completely distinct races: Protoss, Terran, and Zerg
Units and gameplay mechanics distinguish each race
3D-graphics engine with support for visual effects and massive unit and army sizes
Full multiplayer support, with competitive features and matchmaking utilities available through Battle.net",5,56
46,331,Insaniquarium - PC,-1.0,-1.0,1,4.4,101,70,13,7,4,6,17,5,0,0,0,0,3,1,5,1,0,"Four exciting game modes: Adventure, Timed, Challenge and Virtual Tank
Colorful aquarium setting with spectacular 3D graphics and sound effects
Fantastic marine life and terrifying extraterrestrial beasts
Sock your virtual tank with custom-named fish
Create your own aquarium screensaver!",5,39
47,335,Reel Deal Slots Ghost Town - PC,-1.0,-1.0,1,4.3,94,57,22,4,5,4,43,12,0,0,0,0,10,11,1,1,0,Reel Deal Slots Ghost Town,1,5
48,338,The Elder Scrolls III: Morrowind - PC Game of the Year Edition,-1.0,-1.0,1,4.5,520,405,52,26,15,26,12,3,0,4,11,2003,3,1,0,1,0,"Bundle of popular RPG and two expansion sets
Adds 80 hours of gameplay and quests beyond Morrowind
Explore the tundra of Solstheim and the cities of Mournhold and Sotha Sil
Many new monsters
For one player",5,36
49,344,Tomb Raider Anniversary,-1.0,-1.0,1,4.1,126,78,7,25,6,7,3,2,0,0,0,0,2,2,1,1,0,"Explore Atlantis and ancient Egyptian pyramids - every hidden dark crevice and impossible height
Unleash a hail of bullets from Lara's dual pistols - acrobatic gunplay as you deftly leap around charging enemies
Wilderness awaits - Bestial predators from bats to wolves to bears defend their territory from human encroachment
Death-defying stunts - Leap over massive gaps, cling onto rock ledges, and swim through underground tunnels
Seek to outwit the brilliant ancient designers of many epic puzzles and vaults in order to uncover their secrets",5,85
50,346,Nancy Drew: Last Train to Blue Moon Canyon - PC,-1.0,-1.0,1,4.3,112,82,6,8,5,7,10,2,0,0,0,0,3,1,4,1,0,"Find secrets in the train’s caboose, dining car, master suite
Meet Frank and Joe Hardy as animated characters
Play pachinko, sort heirloom dolls, and be a short order cook
Explore a crypt, mining museum, and Jake’s mine
New camera cell phone for taking pictures and calling for hints",5,48
51,349,The Lord of the Rings: The War of the Ring - PC,-1.0,-1.0,1,4.1,54,32,3,9,5,2,9,4,0,0,0,0,3,1,1,1,0,"Real time strategy game set in the Lord of the Rings universe
Play as the forces of Good or Evil using multiple types of character units
Real world environment and terrain effects alter the outcome of skirmishes and battles
Character units gain experience and visual enhancements as they destroy enemy units
For one or more players",5,56
