Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
The Sims 4 - Movie Hangout Stuff [Online Game Code],9.99,0.0,4.7,740,606,74,37,7,7,Electronic Arts,Simulation_games,0,12,January,2016,Windows XP, Windows Vista,0,PC/Mac,0,0,0,0
MLB 2K10 - PC,-1.0,-1.0,3.6,68,25,12,17,4,8,2K,Baseball_games,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Authentic presentation with MLB Today featuring scores, standings, news and stats and up-to-date analysis and color commentary by Gary Thorne, Steve Phillips and now John Kruk.
2K Sports exclusive Inside Edge data service that allows for always up-to-date information on real players that influences the actions of AI representation of the same players throughout the game.
Batter’s Eye functionality that uses a hitter’s real-life eye rating to help you identify fastballs, breaking balls and off speed pitches before they get to the plate.
Updated Franchise Mode that improves your team from the warm days of spring training to the chill of the October Classic, with the option to jump into online leagues whenever you choose.
My Player career mode, allowing you to create a player, choose your team and then play your way into the Hall of Fame; and Hurry-Up Baseball which allows you to skip cutscenes, animations, replays and commentary between plays.",5,153
Thief II: The Metal Age [Online Game Code],6.99,0.0,3.9,13,7,2,0,0,2,Square Enix,Action_games,0,21,March,2000,Windows XP, Windows Vista,0,PC,0,"Thrilling, stealth-based FPS gameplay
Complex, non-linear levels allow you to choose a different path every time",2,16
The Jackbox Party Pack 3 [Online Game Code],24.99,0.0,4.0,158,101,18,4,3,30,"Jackbox Games, Inc.",Trivia_games,0,17,September,2016,MacOS 10.12 Sierra, Windows 8,0,PC,0,"The threequel to the party game phenomenon features the deadly quiz show Trivia Murder Party, the say-anything sequel Quiplash 2, the surprising survey game Guesspionage, the t-shirt slugfest Tee K.O., and the sneaky trickster game Fakin’ It.",1,37
Ori and the Blind Forest - Definitive Edition - PC Definitive Edition Edition,10.99,9.0,4.5,100,74,11,8,5,2,THQ Nordic,Adventure-game-genre,0,0,0,0,Windows 8, Windows 7,DVD-ROM,PC,0,"Packed with new and additional content: new areas, new abilities, more story sequences, multiple difficulty modes, fast travel between areas and much more!
Discover Naru's past in two brand new environments
Master two powerful new abilities - Dash and Light Burst
Find new secret areas and explore Nibel faster by teleporting between Spirit Wells
Requires activation via provided Steam Key",5,60
AION Classic: QUNA 2300 - PC [Online Game Code],50.0,0.0,5.0,1,1,0,0,0,0,NCSOFT,Role_playing_games, Adventure_games,23,June,2021,Windows 8.1, Windows 7,0,PC,0,"Aion Classic currency
For use in the in-game shop
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for Daeva Pass to get exclusive daily, weekly, and seasonal quests and rewards
Can be used for in-game packs and character boosts",5,50
Sid Meier's Civilization III Complete,-1.0,-1.0,4.4,232,169,16,25,4,13,2K,Turn-based-strategy-game-genre,0,0,0,0,Windows NT, Windows ME,CD-ROM,Pc,0,"Build the ultimate empire in an epic quest to rule the world.
This all-in-one collection of the original Civilization III and its two expansions is the perfect opportunity for Civ newcomers to experience the “greatest computer strategy game of all time.”
Negotiate, trade, conquer, and rule the world. The addictive Sid Meier gameplay gives you many paths to victory by combining diplomatic finesse, cultural domination, and sheer military might.
Enjoy the definitive Civ III experience. All rule changes, extra scenarios, rebalancing of units, special abilities, additional units, difficulty levels, incremental patches, and other game options wrapped up into one package.
Includes all Conquest scenarios, multiplayer modes, and 31 playable nations.",5,110
Castlevania: Lords of Shadow 2 - Armored Dracula Costume [Online Game Code],0.99,0.0,3.7,4,2,0,0,0,1,Konami,Action_games,0,25,March,2014,Windows XP, Windows Vista,0,PC,0,0,0,0
Kingdoms of Amalur Re-Reckoning Collector's Edition - PC - PC Collector's Edition,84.95,15.04,4.4,53,35,10,3,2,1,THQ Nordic,Role-playing-game-genre,0,0,0,0,Windows 8,0,DVD-ROM,PC,0,"Build the ideal character for the most intense combat, choosing from a countless combinations of skills, abilities, weapons and pieces of armor
The revolutionary Destiny system allows you to continuously evolve your character class to your style of play
Seamlessly integrate magical and melee attacks as you take on scores of enemies in grand fight sequences and finish them off with brutal Fateshift kills
Extend your experience in Amalur with all DLC from the original release, from Teeth of Naros to Legend of Dead Kel and more!
The Collector's Edition includes an Alyn Shir Statue, an Amalur keychain, the hugely popular OST and 5 Amalur artworks in addition to the Game!",5,111
Rocket Arena - 11500 Rocket Fuel - PC [Online Game Code],99.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,Electronic Arts,Strategy_games, Simulation_games,14,July,2020,Windows 8, Windows 7,0,PC,0,"On a hot streak? Burn brighter with Rocket Arena Rocket Fuel
Use Rocket Fuel to purchase the blast pass or unique customizations",2,22
Elder Scrolls 3: Morrowind - PC,-1.0,-1.0,4.1,235,145,30,16,9,30,Bethesda,Role Playing Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Windows,0,"You can choose to be a mighty hero and go on a great quest, or become a thief and use the scum of the city to gain power for yourself
Explore incredibly huge game maps with over 30 unique cities & villages, plus unique areas like the inside of a volcano
Use the terrain editor to adjust the land types to suit your gaming needs
All the aspects of great gameplay with incredible graphics!",4,74
Clash of Giants: Civil War,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,GMT Games,Wargame,0,0,0,0,0,0,0,0,11.61 x 11.61 x 3.35 inches,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Product is for use as a table top board game
Product Number: GMT 1603
Number of Players: 1-2
CoG: Civil War uses a modified version of the chit-pull Activation system of Clash of Giants II: Campaigns of Galicia and First Ypres, 1914, while retaining the CoG combat system. Every (mostly brigade-level) unit has a Tactical Efficiency Rating based on its morale, training, leadership, and experience, but even a poor unit can have a heroic moment, while the Iron Brigade might not always be made of iron.
It is a true player’s system, which produces realistic results without a lot of fiddly procedures, and allows players to concentrate on the game rather than the rules. Units in CoG: Civil War are mostly infantry brigades, (with the odd cavalry brigade or demi-brigade). Each day is divided into four day turns and one night turn. The maps depict woods, hills, steep hexsides, railway cuts and embankments, roads, rivers, creeks, bridges, towns, marshy ground, and the Devil’s Den at Gettysburg.",9,189
Codename: Panzers - Phase Two [Online Game Code],14.99,0.0,5.0,2,2,0,0,0,0,THQ Nordic,Real_time_strategy_games,0,21,July,2005,Windows XP, Windows Vista,0,PC,0,"Three captivating campaigns, inspired by key battles of World War II
Day-night cycles take on an even greater importance with night time stealth and search and destroy missions
Hundreds of fully destructible object types and buildings comprise the battlegrounds in which units interact even more realistically with the terrain",3,49
Space Colony - PC,-1.0,-1.0,4.2,42,25,5,9,0,2,Midway,Strategy Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"This unusual space-sim challenges you to manage an unruly bunch as they build space dwelling on every type of alien world
Learn your people's strengths and weaknesses, and train them -- bring them together or keep them apart, to make them effective colonists
Explore each new world, set up industries, and turn your simple collection of life-support pods into a thriving human city
Watch out for the aliens -- there are always a few around causing trouble, and you've got enough problems on your hands!",4,85
Graven: The Purple Moon Prophecy [Download],6.89,0.0,4.1,39,19,11,3,0,3,ScreenSeven,Seek_and_find_games,0,13,March,2015,Windows Vista, Windows 8,0,PC,0,"Discover a terrifying secret hidden in a sleepy town in Brittany, France
Travel between worlds to the mythical land of Avalon
Solve more than 20 tricky mini games
Play more than 10 hidden object scene in two different exciting styles",4,40
Space Colony - PC,-1.0,-1.0,4.2,42,25,5,9,0,2,Midway,Strategy Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"This unusual space-sim challenges you to manage an unruly bunch as they build space dwelling on every type of alien world
Learn your people's strengths and weaknesses, and train them -- bring them together or keep them apart, to make them effective colonists
Explore each new world, set up industries, and turn your simple collection of life-support pods into a thriving human city
Watch out for the aliens -- there are always a few around causing trouble, and you've got enough problems on your hands!",4,85
Graven: The Purple Moon Prophecy [Download],6.89,0.0,4.1,39,19,11,3,0,3,ScreenSeven,Seek_and_find_games,0,13,March,2015,Windows Vista, Windows 8,0,PC,0,"Discover a terrifying secret hidden in a sleepy town in Brittany, France
Travel between worlds to the mythical land of Avalon
Solve more than 20 tricky mini games
Play more than 10 hidden object scene in two different exciting styles",4,40
Rollercoaster Tycoon 3 - PC,-1.0,-1.0,4.3,423,304,42,25,12,38,Atari,Strategy Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"Create and customize your own amusement park
New 3-D graphics; complete camera control allows players to view their park from any angle
The new CoasterCam lets you ride what you build
Create your own family members and friends and add them to your park
For 1 player",5,47
F.E.A.R. 3 - PC,-1.0,-1.0,4.3,226,158,27,15,13,13,WB Games,Shooter-action-game-genre,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Divergent Co-op: Deep, social gameplay that gives players distinctly different abilities
Frenetic Combat: 360 degree cover, evolutionary slow-mo modes, phasing portal systems and best in class mech combat
Experience the Almaverse: New sinister enemy creatures birthed in Alma's warped mind spill into reality
Masters of Horror: Legendary director John Carpenter and writer Steve Niles provide their expertise on cinematics and story
Multiplayer - A twist on classic multiplayer modes set inside the Almaverse provide an experience unique to F.E.A.R. 3",5,80
Tomb Raider: Legend [Online Game Code],6.99,0.0,3.6,22,10,3,2,1,4,Square Enix,Adventure_games,0,7,April,2006,Windows XP, Windows,0,PC,0,"Lara Croft evolved! - the sexy, dual-pistol wielding heroine is presented like never before with new graphic and animation sets, presenting Lara in the finest fidelity to date
Return to the tombs! - discover and explore living breathing, lost ancient realms that hold clues to the secrets of Lara's past. Physics, Water and Fire systems bring the perilous environments of Lara's world alive, and challenge the player to improvise solutions to obstacles",2,72
Nancy Drew: The Final Scene [Download],6.99,0.0,4.5,115,87,14,4,2,5,Her Interactive,Puzzle_games,0,27,January,2010,Windows XP,0,0,0,Single player only,"Learn About Houdini And His Magic Tricks.
Explore A Historical Theatre.
Work With The Police And Local Groups.
Two Difficulty Settings.",4,21
The Sims 4 - Laundry Day Stuff [Online Game Code],6.99,3.0,4.7,932,764,93,46,9,9,Electronic Arts,Strategy_games,0,16,January,2018,Windows 10,0,0,PC,0,0,0,0
Heavy Rain (PC) - [AT-PEGI],23.72,0.0,4.6,14,10,1,2,0,0,Quantic Dream,Adventure, Psychothriller,0,0,0,Windows 8, Windows 7,CD-ROM,Pc,0,"Previously available for PlayStation consoles, the classic is now also available for PC, with stunning graphics in 4K resolution
Slip into the role of four different characters that follow their own traces in the desperate search for a missing person
The game screen contains no complicated displays, which facilitates a deep immersion in the history
Bonus: In addition to the game, there is an exclusive Artbook ""The Art of Heavy Rain"" and Heavy Rain & Quantic Dream Games Sticker",4,79
Funbag Fantasy: Sideboob Story pc game,-1.0,-1.0,5.0,1,1,0,0,0,0,Manga Gamer,Visual Novel,0,0,0,0,Windows Vista, 7,DVD-ROM,Windows,0,0,0,0
"Polar Sports, Vol. 1 - PC",-1.0,-1.0,4.3,110,69,22,7,7,3,Mumbo Jumbo,Sports_and_outdoors_games,0,0,0,0,Windows Vista, Windows XP Media Center Edition,CD-ROM,Pc,0,"4 Cool Games in 1!
Polar Bowler: Aim for strikes in whimsical Chill Pin Alley
Penguins: 80+ levels of puzzle penguins
Polar Golfer: Multiplayer mode allows up to four players!
Polar Tubing Dominate the waterslide and dodge debris!",5,38
"Broken Age Video Game for Pc, Mac, and Lunux",5.49,0.0,-1.0,-1,-1,-1,-1,-1,-1,0,Childrens Adventure Software Games,0,0,0,0,Windows XP service pack 3. Mac OS snow leopard10.6. 8 or later. Linux os. Ubuntu12.04LTS,0,DVD-ROM,0,0,0,0,0
