Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Sid Meier's Civilization VI - PC,20.92,4.08,4.2,932,587,149,93,37,74,2K GAMES,Action-game-genre,0,0,0,0,Windows 8, Windows 7,DVD-ROM,PC,0,"EXPANSIVE EMPIRES: See the marvels of your empire spread across the map like never before.
ACTIVE RESEARCH: Unlock boosts that speed your civilization's progress through history.
DYNAMIC DIPLOMACY: Interactions with other civilizations change over the course of the game.
COMBINED ARMS: Expanding on the “one unit per tile” design, support units can now be embedded with other units.",4,58
Code Vein - Deluxe Edition [PC Online Game Code],79.99,0.0,5.0,7,7,0,0,0,0,BANDAI NAMCO Entertainment,Action_games,0,27,September,2019,Windows 8.1, Windows 8,0,PC,0,"In the not too distant future, a mysterious disaster has brought collapse to the world as we know it. Towering skyscrapers, once symbols of prosperity, are now lifeless graves of humanity’s past pierced by the Thorns of Judgment. At the center of the destruction lies a hidden society of Revenants called Vein.
This ﬁnal stronghold is where the remaining few ﬁght to survive, blessed with Gifts of power in exchange for their memories and a thirst for blood. Give into the bloodlust fully and risk becoming one of the Lost, ﬁendish ghouls devoid of any remaining humanity.
Wandering aimlessly in search of blood, the Lost will stop at nothing to satisfy their hunger.
Team up and embark on a journey to the ends of hell to unlock your past and escape your living nightmare in CODE VEIN.",4,137
Encore Classic Casino Games - [PC Download],19.99,0.0,3.7,43,20,6,6,3,6,"Encore Sofware, LLC",Card_games, Casino_games,8,September,2019,Windows 8, Windows 7,0,PC,0,"Over 600 variations on authentic casino games
Try your luck at Blackjack, Roulette, Craps, Keno, Pai Gow, Baccarat, even Poker Tournaments
100’s of Uniquely themed multi-lined and progressive video and reel spinner slots.
Compete again 25 in-game characters each with their own unique strengths-choose wisely! Don’t’ forget to create your own customized character.
Large playing cards for easy visibility, fast game play, adjustable skill levels, and in-game currency-the more you play, the more you earn",5,75
DRAGON QUEST XI S: Echoes of an Elusive Age Definitive - PC [Online Game Code],39.99,0.0,5.0,3,3,0,0,0,0,Square Enix,Role_playing_games, Adventure_games,4,December,2020,Windows 10,0,0,PC,0,"Unravel an Epic Mystery in a Riveting Tale – DRAGON QUEST XI tells the tale of a hunted hero: denigrated as a demon and pursued by a malicious monarch, you must embark on a quest to unravel the mystery of your fate and save a doomed world. At the heart of the game is an immersive story with twists and turns that pull you in and keep you craving more – from the opening cutscene to the final credits!
Assemble a Colorful Cast of Loyal Companions – Accompanying the hero on his quest is an endearing band of adventurers with their own rich backstories and personalities as diverse as their designs. The Definitive Edition adds new story scenarios to learn more about some of your favorite companions.
Explore a Beautiful, Living World in 3D or 2D – Switch between 3D HD or 2D 16-bit modes to explore the massive, gorgeous world or Erdrea. Excitement lurks around every corner as players explore populous cities, quaint villages, magnificent castles, and dark dungeons. NPC’s attend to their daily schedules, monsters change behaviors to fit their environments, and players can access new areas with the use of monstrous vehicles.
Personalize your Adventure – Customize your audio experience by selecting options for the original in-game soundtrack or a new orchestral version of the music, as well as English or Japanese voice audio. Spice up the adventure with three new Draconian Quest settings that challenge even the most seasoned adventurers.
Engage in Classic Battles with a Modern Twist – DRAGON QUEST XI’s strategic battle system eases players into combat with an accessible experience that features mechanics simple enough for the novice but with enough depth to satisfy hardcore fans. Vanquish your foes even quicker with the option to speed up battle by 2x or 4x!",5,299
Frost Punk Victorian Edition - PC,31.52,3.47,4.1,35,22,3,1,4,2,Merge Games,Simulation-game-genre,0,0,0,0,Windows 8, Windows 7,CD-ROM,PC,0,"The City Must Survive - Frostpunk is a city-survival game where heat means life and every decision comes with a cost.
Maintain The Hope - Survival is about hope and will to live. Your ability to spark and maintain these two in your people will be a determinant factor for success.
Make The Law - Society is a group of people abiding the same rules and sharing similar beliefs. Establishing laws and customs will be an crucial factor shaping your society.
Weigh Your Choices - Will you allow child-labor? How will you treat the sick and wounded? Frostpunk challenges a player's tactical skills, while questioning one's morality.
Explore - Survival is about hope and will to live. Your ability to spark and maintain these two in your people will be a determinant factor for success.",5,135
SnowRunner Standard - PC [Online Game Code],29.99,0.0,4.0,3,2,0,0,0,0,Focus Home Interactive,Simulation_games, Racing_games,18,May,2021,Windows 8, Windows 7,0,PC,0,"Face extreme environments in a highly advanced physics engine
40 unique vehicles to unlock, upgrade, and customize
Complete dozens of challenging missions across an interconnected world
Go solo or play with other players in 4-player co-op",4,36
FIFA 21: Standard - PC [Online Game Code],59.99,0.0,3.8,46,25,6,3,3,7,Electronic Arts,Sports_games,0,8,October,2020,Windows 8.1, Windows 7,0,PC,0,"Win as One in EA SPORTS FIFA 21, powered by Frostbite.
Whether it's on the streets or in the stadium, FIFA 21 has more ways to play than ever before
Including the UEFA Champions League and CONMEBOL Libertadores.",3,38
For Honor Marching Fire Expansion [Online Game Code],29.99,0.0,4.1,11,5,2,2,0,0,Ubisoft,Action_games,0,16,October,2018,Windows,0,0,PC,0,"Get instant access to a fourth faction of warriors – The Wu Lin, featuring four new heroes from the Far East.
Conquer Ashfeld as The Tiandi, wield the mighty guandao as the Jiang Jun, master the hook swords of the Nuxia, and outplay rivals as the nimble Shaolin.
The new Arcade Mode offers an endless solo or co-op battle experience, with all progression carried over to multiplayer.
With For Honor Marching Fire, all players will have access to Breach, a new strategic 4v4 PvP mode where you'll attack and defend a castle.
With For Honor Marching Fire, all players will get closer to the action than ever before with significant graphical enhancements for the full game.",5,116
Borderlands: The Handsome Collection [Online Game Code],59.8,0.0,4.4,61,45,4,2,2,5,2K,Shooter_action_games,0,3,April,2019,Windows 7,0,0,PC,0,"The critically acclaimed BORDERLANDS 2 and BORDERLANDS: THE PRE-SEQUEL games in one package
All bonus add-on content for both games, adding hundreds of hours of gameplay at an incredible value",2,30
Guild Wars 2: The Path of Fire Digital Deluxe [Online Game Code],37.48,17.51,4.6,70,54,8,1,1,3,NC Soft,Role_playing_games,0,6,September,2017,Windows 8.1, Windows 8,0,PC,0,"Guild Wars 2: Path of Fire
Free Guild Wars 2: Heart of Thorns
Living World: The Icebrood Saga
Max-Level Boost and a Lily of the Elon Permanent Pass
Additional Character Slot, an Identity Repair Kit, and a Sunspear Outfit",5,39
